x	y	g
0,687157552	3,56449846	957,05
1,525113215	3,088196431	456,02
1,846529082	3,067840542	407,11
1,39197336	2,897689222	490,74
0,797164088	2,795759527	456,27
0,122471285	2,60380126	836,67
0,605568022	3,721395762	407,41
2,509159593	2,996328749	746,07
1,579686043	2,887823059	960,59
-1,897033198	2,711070027	990,4
-1,879588727	3,530646082	715,23
0,387134721	2,703701674	695,66
2,958521649	2,292058002	634,94
3,382315315	1,350090642	710,32
1,472278937	2,696314186	381,79
1,089564236	3,048302015	486,82
1,704501336	1,886189952	472,2
1,549229199	2,533467292	466,36
1,174680099	2,44418994	503,06
-0,958620055	2,835116336	834,81
-1,114888579	2,345236108	344,97
-0,029827062	3,134065112	662,35
0,750745436	3,073941968	366,31
-0,490978066	2,965766939	467,11
2,307383221	2,816975535	302,05
0,460088169	2,055021478	463,74
1,270149926	3,01814293	507,84
2,797922872	3,138808284	897,33
1,052169014	2,314802679	682,4
2,205436451	2,894971635	909,39
-0,488384827	4,160380738	600,18
-0,185257612	2,396640543	801,81
1,569251866	3,464275202	814,1
-0,856599048	3,089554674	420,59
0,637387673	2,418121242	710,15
-0,248123846	3,54874204	630,04
1,233563715	3,548485421	413,72
1,108437245	3,915898067	616,66
3,090517679	2,673121161	803,47
1,626378433	3,385246082	735,2
2,085945684	2,795692954	505,66
0,367877188	2,92513034	660,49
1,680661479	2,865370561	455,54
1,11724264	4,049929684	549,33
-2,270590954	3,81512535	788,13
0,565170255	3,167473871	757,86
2,065317684	3,130189543	785,8
-1,865408891	4,266143227	556,23
1,222082729	3,188950951	873,23
2,501243573	2,950162445	561,4
0,715731528	2,991890773	935,61
0,666490545	4,118103871	356,57
1,451047704	3,314976123	849,24
2,064723573	2,617239029	536,36
0,488198357	2,694106791	934,33
-0,672975474	3,396387353	862,92
-0,807701477	3,229920639	618,51
-0,946751235	4,266499472	505,61
1,697693497	2,285590567	312,89
3,508142611	2,207922921	609,45
2,576172594	3,021909888	348,8
1,813012427	3,512748628	810,9
1,797679275	3,12756105	447,22
2,627029467	2,391632063	382,84
